credit_provider_name;trading_names;registration_status;effective_date
"MILNEX 470 BK";"CASH CREATORS";"voluntarily_cancelled";"2008/08/13"
"INNOVATIVE CAPITAL TRADING (PTY) LTD";"PHOENIX FINANCE";"voluntarily_cancelled";"2019/07/29"
"GOT THE EDGE 41 CC";"N & N MOTORS";"voluntarily_cancelled";"2010/03/16"
"OLD MAKHERA AND ASSOCIATES CC";"";"voluntarily_cancelled";"2010/01/15"
"RVR SHELF 9 (EDMS) BEPERK";"";"lapsed";"2018/03/19"
"SJA TRADING ENTERPRISES CC";"";"lapsed";"2014/03/31"
"SPOORSTR 25 CASH LOANS CC";"";"lapsed";""
"SILVER HAWK CASH LOANS CC";"";"lapsed";""
"BROJO FINANSIELE DIENSTE CC";"";"lapsed";"2014/03/31"
"DUPS MEUBEL ONDERNEMINGS CC";"";"lapsed";""
"MAJOR MULTI SERVICES CC";"";"lapsed";"2018/03/19"
"CJ MEYERS CASH LOANS CC";"";"lapsed";""
"PTM MICRO FINANCE CC";"";"lapsed";""
"MPHAPHULI FINANCIAL SOLUTIONS CC";"";"lapsed";"2016/03/31"
"SMART MILLIONAIRES GROUP (PTY) LTD";"";"registered";"2017/10/23"
"LOAN AT SMART CASH KOKSTAD (PTY) LTD";"SMART CASH";"registered";"2017/11/29"
"PHOLAVUSI TRADING (PTY) LTD";"PHO AND PARTNERS CASH LOANS";"registered";"2017/11/30"
"TISOKN CAPITAL (PTY) LTD";"";"registered";"2017/11/29"
"CS BUSINESS TRUST";"CS SMALL LOANS";"registered";"2017/11/28"
"BLUE AGE INVESTMENTS (PTY) LTD";"";"registered";"2017/11/29"
"B4 FINANCIAL SERVICES AND PROJECTS (PTY) LTD";"";"registered";"2017/11/16"
"WIKE BOUTIQUE (PTY) LTD";"RAINBOW";"registered";"2017/11/30"
"KELETLHOKO CREATION (PTY) LTD";"BANGALA CASH LOAN";"registered";"2017/11/30"
"DING LOANS (PTY) LTD";"";"registered";"2017/11/27"
"GERHARD CORDIER & GENOTE (PTY) LTD";"INDEPENDENT LOAN BROKERS";"voluntarily_cancelled";"2008/02/01"
"AGILE FINANCIAL SOLUTIONS (PTY) LTD";"";"voluntarily_cancelled";"2019/07/04"
"EVOLUTION CASHFLOWS LTD";"";"voluntarily_cancelled";"2011/04/26"
"REAL PEOPLE EDUCATION (PTY) LTD";"";"voluntarily_cancelled";"2016/11/05"
"ADRIAAN JACOBUS PRINSLOO";"";"voluntarily_cancelled";"2019/07/22"
"BIBO WATER (PTY) LTD";"";"voluntarily_cancelled";"2019/02/12"
"C AND M MICRO LENDERS CC";"";"voluntarily_cancelled";"2013/02/06"
"MOORREESBURGSE KORINGBOERE (EDMS) BPK";"MKB";"voluntarily_cancelled";"2013/10/27"
"FRIEDLAND 035 INVESTMENTS ( PTY) LTD";"";"voluntarily_cancelled";"2013/01/17"
"BERAS MOTOR WORLD CC";"SUPER CARS";"voluntarily_cancelled";"2011/02/18"
"M L INTERNATIONAL TRADING 72 (PTY) LTD";"";"lapsed";"2014/03/31"
"REV FINANCIAL SERVICES CC";"";"lapsed";"2014/03/31"
"KALINKOR THIRTY FIVE CC";"";"lapsed";"2014/03/31"
"DIRISANA CASH LOANS CC";"";"lapsed";""
"GOLDEN FALLS TRADING 382 (PTY) LTD";"";"lapsed";"2014/03/31"
"BLUE DOT FINANCE PTY) LTD";"";"lapsed";"2014/03/31"
